연도,가수,앨범,제목,작사,가사
2016,BLACKPINK,SQUARE ONE,휘파람,"TEDDY, Bekuh BOOM ",Hey boy Make’ em whistle like a missile bomb bomb Every time I show up blow up uh Make’ em whistle like a missile bomb bomb Every time I show up blow up uh 넌 너무 아름다워 널 잊을 수가 없어 그 눈빛이 아직 나를 이렇게 설레게 해 boom boom 24 365 오직 너와 같이 하고파 낮에도 이 밤에도 이렇게 너를 원해 ooh ooh 모든 남자들이 날 매일 check out 대부분이 날 가질 수 있다 착각 절대 많은 걸 원치 않아 맘을 원해 난 넌 심장을 도려내 보여봐 아주 씩씩하게 때론 chic chic 하게 So hot so hot 내가 어쩔 줄 모르게 해 나지막이 불러줘 내 귓가에 도는 휘파람처럼 이대로 지나치지 마요 너도 나처럼 날 잊을 수가 없다면 WHOA 널 향한 이 마음은 Fire 내 심장이 빠르게 뛰잖아 점점 가까이 들리잖아 휘파람 UH 휘 파람 파람 파람 can you hear that 휘 파라파라 파라 밤 휘파람 UH 휘 파람 파람 파람 can you hear that 휘 파라파라 파라 밤 Hold up 아무 말 하지 마 Just whistle to my heart 그 소리가 지금 나를 이렇게 설레게 해 boom boom 생각은 지루해 느낌이 shhh Every day all day 내 곁에만 있어줘 zoom zoom Uh 언제나 난 stylin’ 도도하지만 네 앞에선 darlin’ 뜨거워지잖아 like a desert island 널 알아갈수록 울려대는 마음속 그만 내빼 넘어와라 내게 boy 이젠 checkmate 게임은 내가 win uh-huh 난 널 택해 안아줘 더 세게 누가 널 가로채 가기 전에 내가 uh 이대로 지나치지 마요 너도 나처럼 날 잊을 수가 없다면 WHOA 널 향한 이 마음은 Fire 내 심장이 빠르게 뛰잖아 점점 가까이 들리잖아 휘파람 UH 휘 파람 파람 파람 can you hear that 휘 파라파라 파라 밤 휘파람 UH 휘 파람 파람 파람 can you hear that 휘 파라파라 파라 밤 This beat got me feelin’ like 바람처럼 스쳐가는 흔한 인연이 아니길 많은 말은 필요 없어 지금 너의 곁에 나를 데려가 줘 ohh Make’ em whistle like a missile bomb bomb Every time I show up blow up uh Make’ em whistle like a missile bomb bomb Every time I show up blow up uh
2016,BLACKPINK,SQUARE ONE,붐바야,"TEDDY, Bekuh BOOM ",BLACKPINK in your area BLACKPINK in your area Been a bad girl I know I am And I'm so hot I need a fan I don't want a boy I need a man Click-Clack Badda bing badda booom 문을 박차면 모두 날 바라봄 굳이 애써 노력 안 해도 모든 남자들은 코피가 팡팡팡 팡팡 파라파라 팡팡팡 지금 날 위한 축배를 짠짠짠 Hands up 내 손엔 bottle full o' henny 네가 말로만 듣던 걔가 나야 Jennie 춤추는 불빛은 날 감싸고 도네 Black to the pink 어디서든 특별해 Oh yes 쳐다 보든 말든 I wanna dance Like 따라다라단딴 따라다라단딴 뚜두룹바우 좋아 이 분위기가 좋아 좋아 난 지금 네가 좋아 정말 반했어 오늘 밤 너와 춤추고 싶어 BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH YAH YAH BOOM BOOM BA BOOM BOOM BA 오빠 YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH 오빠 YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH BOOM BOOM BA BOOMBAYAH BLACKPINK in your area 이제 달려야지 뭘 어떡해 난 철 없어 겁 없어 man Middle finger up F U pay me 90's baby I pump up the jam 달려봐 달려봐 오빠야 LAMBO 오늘은 너와 나 젊음을 GAMBLE 감히 날 막지마 혹시나 누가 날 막아도 I'm gonna go Brrrr RAMBO 네 손이 내 허리를 감싸고 도네 Front to my back 내 몸매는 특별해 Oh yes 네 눈빛은 I know you wanna touch Like Touch touch touch touch 뚜두룹바우 좋아 이 분위기가 좋아 좋아 난 지금 네가 좋아 정말 멋있어 오늘 밤 너와 춤추고 싶어 BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH YAH BOOMBAYAH YAH YAH YAH YAH BOOM BOOM BA BOOM BOOM BA 오빠 YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH 오빠 YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH YAH BOOM BOOM BA BOOMBAYAH 오늘은 맨 정신 따윈 버리고 하늘을 넘어서 올라 갈 거야 끝을 모르게 빨리 달리고 싶어 Let's go let's go 오늘은 맨 정신 따윈 버리고 하늘을 넘어서 올라 갈 거야 끝을 모르게 빨리 달리고 싶어 Let's go let's go
2016,BLACKPINK,SQUARE TWO,불장난,TEDDY,우리 엄만 매일 내게 말했어 언제나 남자 조심하라고 사랑은 마치 불장난 같아서 다치니까 Eh 엄마 말이 꼭 맞을지도 몰라 널 보면 내 맘이 뜨겁게 달아올라 두려움보단 널 향한 끌림이 더 크니까 Eh 멈출 수 없는 이 떨림은 On and on and on 내 전부를 너란 세상에 다 던지고 싶어 Look at me look at me now 이렇게 넌 날 애태우고 있잖아 끌 수 없어 우리 사랑은 불장난 My love is on fire Now burn baby burn 불장난 My love is on fire So don’t play with me boy 불장난 Oh no 난 이미 멀리 와버렸는걸 어느새 이 모든 게 장난이 아닌 걸 사랑이란 빨간 불씨 불어라 바람 더 커져가는 불길 이게 약인지 독인지 우리 엄마도 몰라 내 맘 도둑인데 왜 경찰도 몰라 불 붙은 내 심장에 더 부어라 너란 기름 kiss him will I diss him I don’t know but I miss him 중독을 넘어선 이 사랑은 crack 내 심장의 색깔은 black 멈출 수 없는 이 떨림은 On and on and on 내 전부를 너란 불길 속으로 던지고 싶어 Look at me look at me now 이렇게 넌 날 애태우고 있잖아 끌 수 없어 우리 사랑은 불장난 My love is on fire Now burn baby burn 불장난 My love is on fire So don’t play with me boy 불장난 걷잡을 수가 없는 걸 너무나 빨리 퍼져 가는 이 불길 이런 날 멈추지 마 이 사랑이 오늘 밤을 태워버리게 whooo
2016,BLACKPINK,SQUARE TWO,STAY,TEDDY,툭하면 거친 말들로 내 맘에 상처를 내놓고 미안하단 말 한마디 없이 또 나 혼자 위로하고 오늘 하루도 혹시 날 떠날까 늘 불안해 해 I just want you to stay 점점 무뎌져 가는 너의 그 무표정 속에 천천히 내려놓자며 거울에 속삭이곤 해 날 당연하게 생각하는 너지만 그게 너다워 그래도 stay stay stay with me 널 닮은 듯한 슬픈 멜로디 이렇게 날 울리는데 eh eh 네 향기는 달콤한 felony 너무 밉지만 사랑해 어두운 밤이 날 가두기 전에 내 곁을 떠나지마 아직 날 사랑하니 내 맘과 같다면 오늘은 떠나지마 굳이 너여야만 하는 이유는 묻지마 그저 내 곁에 stay with me It goes a little something like 지금 당장 많은 걸 바라는 게 아냐 그저 내 곁에 stay with me 사실은 난 더 바라는 게 없어 이제 심장은 뛰긴 하는 건지 무감각해 그래 사람들과의 억지스런 한마디보단 너와의 어색한 침묵이 차라리 좋아 So stay 그게 어디가 됐건 말이야 가끔 어둠이 올 때면 I’ll be your fire 거짓 같은 세상 속 유일한 truth it’s you This a letter from me to you 널 닮은 듯한 슬픈 멜로디 이렇게 날 울리는데 eh eh 네 향기는 달콤한 felony 너무 밉지만 사랑해 어두운 밤이 날 가두기 전에 내 곁을 떠나지마 아직 날 사랑하니 내 맘과 같다면 오늘은 떠나지마 굳이 너여야만 하는 이유는 묻지마 그저 내 곁에 stay with me It goes a little something like 지금 당장 많은걸 바라는 게 아냐 그저 내 곁에 stay with me It goes a little something like 지금 당장 많은걸 바라는 게 아냐 그저 내 곁에 stay with me
2017,BLACKPINK,마지막처럼,마지막처럼,"TEDDY, 브라더수, CHOICE37",너 뭔데 자꾸 생각나 자존심 상해 애가 타 얼굴이 뜨겁고 가슴은 계속 뛰어 내 몸이 맘대로 안 돼 어지러워 넌 한 줌의 모래 같아 잡힐 듯 잡히지 않아 넌 쉽지 않은 걸 그래서 더 끌려 내 맘이 맘대로 안 돼 어이없어 지금 너를 원하는 내 숨결이 느껴지니 널 바라보고 있어도 missing you 서툰 날 won’t you set me free Baby 날 터질 것처럼 안아줘 그만 생각해 뭐가 그리 어려워 거짓말처럼 키스해줘 내가 너에게 마지막 사랑인 것처럼 마지막처럼 마-마-마지막처럼 마지막 밤인 것처럼 love 마지막처럼 마-마-마지막처럼 내일 따윈 없는 것처럼 Uh I'ma fall in love baby You gon finna catch me Uh give you all of this baby Call me pretty and nasty Cause we gonna get it my love you can bet it on black we gon double the stack on them whoa I be the Bonnie and you be my Clyde We ride or die Xs and Os 시간은 흘러가는데 마음만 급해지지 내 세상은 너 하나만 missing you 서툰 날 won’t you set me free Baby 날 터질 것처럼 안아줘 그만 생각해 뭐가 그리 어려워 거짓말처럼 키스해줘 내가 너에게 마지막 사랑인 것처럼 마지막처럼 마-마-마지막처럼 마지막 밤인 것처럼 love 마지막처럼 마-마-마지막처럼 내일 따윈 없는 것처럼 One two three 새로운 시작이야 절대 뒤돌아보진 않을 거니까 날 너에게 던지면 너는 날 꼭 잡아줘 세상은 우릴 꺾지 못할 테니까 BLACKPINK in your area Baby 날 터질 것처럼 안아줘 그만 생각해 뭐가 그리 어려워 거짓말처럼 키스해줘 내가 너에게 마지막 사랑인 것처럼 마지막처럼 마-마-마지막처럼 마지막 밤인 것처럼 love 마지막처럼 마-마-마지막처럼 내일 따윈 없는 것처럼 love
2018,BLACKPINK,SQUARE UP,뚜두뚜두(DDU-DU DDU-DU) ,TEDDY,착한 얼굴에 그렇지 못한 태도 가녀린 몸매 속 가려진 volume은 두 배로 거침없이 직진 굳이 보진 않지 눈치 Black 하면 Pink 우린 예쁘장한 Savage 원할 땐 대놓고 뺏지 넌 뭘 해도 칼로 물 베기 두 손엔 가득한 fat check 궁금하면 해봐 fact check 눈 높인 꼭대기 물 만난 물고기 좀 독해 난 Toxic You 혹해 I`m Foxy 두 번 생각해 흔한 남들처럼 착한 척은 못 하니까 착각하지 마 쉽게 웃어주는 건 날 위한 거야 아직은 잘 모르겠지 굳이 원하면 test me 넌 불 보듯이 뻔해 만만한 걸 원했다면 Oh wait til’ I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du 지금 내가 걸어가는 거린 BLACKPINK 4 way 사거리 동서남북 사방으로 run it 너네 버킷리스트 싹 다 I bought it 널 당기는 것도 멀리 밀치는 것도 제멋대로 하는 bad girl 좋건 싫어하건 누가 뭐라 하던 When the bass drop it’s another banger 두 번 생각해 흔한 남들처럼 착한 척은 못 하니까 착각하지 마 쉽게 웃어주는 건 날 위한 거야 아직은 잘 모르겠지 굳이 원하면 test me 넌 불 보듯이 뻔해 만만한 걸 원했다면 Oh wait til’ I do what I do Hit you with that ddu-du ddu-du du Hit you with that ddu-du ddu-du du What you gonna do when I come come through with that that uh uh huh What you gonna do when I come come through with that that uh uh huh 뜨거워 뜨거워 뜨거워 like fire 뜨거워 뜨거워 뜨거워 like fire 뜨거워 뜨거워 뜨거워 like fire 뜨거워 뜨거워 뜨거워 like fire Hit you with that ddu-du ddu-du du
2018,BLACKPINK,SQUARE UP,Really,"TEDDY,Danny Chung","[JENNIE] If you really really love me 말해줘 나 없이 하루도 버틸 수 없다고 really really 집착할 만큼 원한다고 really [ROSE] If you really really want me 말해줘 너 절대 잠시도 한눈 안 판다고 really really 다른 남자와는 다르다고 really [JISOO] 하늘의 별이라도 따주겠다 말해 시간은 많지 않아 있을 때 잘해 다른 여자 보기를 돌 같이 본다고 해 때론 거짓말 같지 않은 거짓말을 난 원해 [JENNIE] 별 볼 일 없는 네 주위의 여자 그만 관리하고 싹 다 정리해 네 어장 어차피 넌 내게 오게 돼 있으니까 Better act like you know what Better act like you know what [LISA] Eyes have been callin me baby Body been tellin me take me Boys have been sayin to date me Your lips should be sayin the same thing For real what's the deal got a feelin you feelin me Aye but I don't play with them fakes Keep it real with me [ROSE] If you really really love me 말해줘 나 없이 하루도 버틸 수 없다고 really really 집착할 만큼 원한다고 really [JENNIE] If you really really want me 말해줘 너 절대 잠시도 한눈 안 판다고 really really 다른 남자와는 다르다고 really [ROSE] 한번 해주면 두 번 해줄 게 뽀뽀 그렇다고 함부로 들이대면 no no 둘이 눈만 맞으면 하하 히히 호호 외로웠던 지난날은 너로 인해 no more [JISOO] 술은 마셔도 연락은 씹지마 yeah 이제 끝이란 내 말은 믿지마 yeah [JENNIE] 복잡한 게 아니야 쉽게 생각해 1, 2, 3 상상해봐 우리가 하나 되는 게 어떨지 [LISA] Want a romance like the old times Want to slow dance when it's show time Just me and you, and that slow jam that we both like That playlist, my favorite, so play it, but baby F a love song I need you to say it say it [JISOO] If you really really love me 말해줘 나 없이 하루도 버틸 수 없다고 really really 집착할 만큼 원한다고 really [ROSE] If you really really want me 말해줘 너 절대 잠시도 한눈 안 판다고 really really 다른 남자와는 다르다고 [LISA] I gotta know that you're for real Really really really I gotta know that you're for real Really really really I gotta know that you're for real Really really really I gotta know that you're for real Really really really"
2018,BLACKPINK,SQUARE UP,Forever Young ,TEDDY,떠나지 마 just stay 지금 이 시간을 멈춘 채 너와 함께라면 난 I could die in this moment Forever young Forever young Forever young Forever young 너의 눈에 비친 나의 모습이 늘 처음 만난 그 날만 같길 소리 없이 타오르는 불꽃같이 마지막처럼 내 입 맞추길 달빛 아래 내 마음은 설레 은하수로 춤추러 갈래 let’s go 지금 let go 오늘이 가도 후회 없게 시간이 우리 둘을 떼어 놓을 수 없게 순간이 영원할 수 있게 넌 내 마음에 불을 질러줘 후회 없는 젊음이 타오르게 지금처럼 너와 함께라면 tonight I could die in this moment Forever young Forever young Forever young Forever young 매일매일 밤 밤 이 노래를 불러 불러 Know we got that bomb bomb Come again come again Forever young boy so we ride or die 끝이 없을 것처럼 달려 너와 나 붉은 sunset 아래 너는 지금 내 옆에 Pinked out or murdered out like it ain’t no thing 다 필요 없어 주인공은 우리 Say life’s a bish But mine’s a movie 내 Diamond처럼 we’ll shine together Whenever wherever forever ever ever 짜릿하게 더 위험하게 세상 저 끝까지 가볼래 let’s go 지금 let go 오늘이 가도 후회 없게 시간이 우리 둘을 떼어 놓을 수 없게 순간이 영원할 수 있게 넌 내 마음에 불을 질러줘 후회 없는 젊음이 타오르게 세상 무엇도 두렵지 않아 tonight I could die in this moment Forever young 달이 뜨고 별이 뜨면 춤추는 body 끝이 없이 달려보자 we like to party 달이 뜨고 별이 뜨면 춤추는 body 끝이 없이 달려보자 we like to party Girls wanna have some fun We go dumb dumb dumb Girls wanna have some fun What you want want want Girls wanna have some fun We go dumb dumb dumb Girls wanna have some fun We ain’t done done done Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum Whatta bum bum whatta bum bum
2018,BLACKPINK,SQUARE UP,See U Later,TEDDY,[JISOO] 아쉬울 것도 없어 진짜 할 만큼 했어 난 어차피 너 따위 있으나 없으나 똑같아 [LISA] 매번 약속은 번복 또 셀 수 없이 반복 너란 남자 딱 그 정도 내 마음 다 줬지만 no [JENNIE] 빈 깡통 같은 네 sorry 이젠 그저 개 짖는 소리 정신을 차리고 보니 네 모든 게 오글거려 [ROSE] 널 버려줄 게 recycle 네 옆에 그녀는 바보 오늘 난 말할 게 I don't want you no more [JENNIE] Hold up 영원할 거라 했어? 근데 결론은 또 you messed up 왔다 갔다 가벼운 넌 ping pong 난 지금 너를 차는 거야 ding dong [LISA] Playa you ain't know? 사람 잘못 골랐어 나만을 바라보고 위해 받들어 줬어야 해 여왕벌처럼 [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [LISA] Would have could have should have Didn't [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [ROSE] See u later maybe never [JISOO] 콩깍지 벗겨졌어 잡아도 소용없어 또 이랬다저랬다 이러쿵저러쿵 구차해 [LISA] 이제는 You ain't got no best friend 외로울 거야 weekend 그래 넌 loser 외톨이 못된 양아치 ha [JENNIE] 빈 깡통 같은 네 sorry 이젠 그저 개 짖는 소리 정신을 차리고 보니 네 모든 게 못나 보여 [ROSE] 널 버려줄 게 recycle 네 옆에 그녀는 바보 오늘 난 말할 게 I don't want you no more [JENNIE] 아픔도 모르게 빨랐던 시간만큼 너는 훅 간 거야 지금 방금 내가 누군지 까먹었니 똑바로 기억해 I'm a boss bish [LISA] 너 정도는 바로 정돈 이미 지웠어 네 전화번호 설렘을 향해 다시 심장의 시동을 걸고 boomin Pedal to the metal like [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [LISA] Would have could have should have Didn't [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [ROSE] See u later maybe never [JISOO] Good bye baby 내가 네 곁에 있었을 때 잘하지 왜 Why you wanna go and do that do that why [ROSE] 내 뒷모습을 좋아하던 너 지금 실컷 보고 잘 기억해 Bye bye bye bye bye [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [LISA] Would have could have should have Didn't [JENNIE] See u later boy see u later See u later boy see u later later See u later boy see u later [ROSE] See u later maybe never
2019,BLACKPINK,KILL THIS LOVE,Kill This Love,"TEDDY, Bekuh BOOM ",천사 같은 Hi 끝엔 악마 같은 Bye 매번 미칠듯한 High 뒤엔 뱉어야 하는 Price 이건 답이 없는 Test 매번 속더라도 Yes 딱한 감정의 노예 얼어 죽을 사랑해 Here I come kick in the door 가장 독한 걸로 줘 뻔하디 뻔한 그 love 더 내놔봐 give me some more 알아서 매달려 벼랑 끝에 한마디면 또 like 헤벌레 해 그 따뜻한 떨림이 새빨간 설렘이 마치 heaven 같겠지만 you might not get in it Look at me Look at you 누가 더 아플까 You smart 누가 You are 두 눈에 피눈물 흐르게 된다면 So sorry 누가 You are 나 어떡해 나약한 날 견딜 수 없어 애써 두 눈을 가린 채 사랑의 숨통을 끊어야겠어 LET’S KILL THIS LOVE LET’S KILL THIS LOVE Feelin’ like a sinner Its so fire with him I go boo hoo He said you look crazy Thank you baby I owe it all to you Got me all messed up His love is my favorite But you plus me sadly can be dangerous Lucky me Lucky you 결국엔 거짓말 we lie So what so what 만약에 내가 널 지우게 된다면 So sorry I’m not sorry 나 어떡해 나약한 날 견딜 수 없어 애써 눈물을 감춘 채 사랑의 숨통을 끊어야겠어 LET’S KILL THIS LOVE LET’S KILL THIS LOVE We all commit to love That makes you cry We’re all making love That kills you inside We must kill this love Yeah it’s sad but true Gotta kill this love Before it kills you too Kill this love Yeah it’s sad but true Gotta kill this love Gotta kill let’s kill this love
