형태소,품사,분류,카운트
!,Punctuation,BLACKPINK,1
',Punctuation,BLACKPINK,45
',Punctuation,Lady Gaga & BLACKPINK,16
(,Punctuation,BLACKPINK,16
),Punctuation,BLACKPINK,16
",",Punctuation,BLACKPINK,39
-,Punctuation,BLACKPINK,56
-,Punctuation,Lady Gaga & BLACKPINK,7
....,Punctuation,BLACKPINK,2
1,Number,BLACKPINK,1
2,Number,BLACKPINK,1
24,Number,BLACKPINK,1
3,Number,BLACKPINK,1
365,Number,BLACKPINK,1
4,Number,BLACKPINK,1
90,Number,BLACKPINK,1
?,Punctuation,BLACKPINK,7
A,Alpha,BLACKPINK,5
AP,Alpha,BLACKPINK,1
Acting,Alpha,BLACKPINK,1
Ah,Alpha,BLACKPINK,2
All,Alpha,BLACKPINK,4
And,Alpha,BLACKPINK,18
Ask,Alpha,Lady Gaga & BLACKPINK,1
At,Alpha,Lady Gaga & BLACKPINK,1
Aye,Alpha,BLACKPINK,1
BA,Alpha,BLACKPINK,6
BLACKPINK,Alpha,BLACKPINK,7
BOOM,Alpha,BLACKPINK,12
BOOMBAYAH,Alpha,BLACKPINK,8
Baby,Alpha,BLACKPINK,8
Badda,Alpha,BLACKPINK,1
Been,Alpha,BLACKPINK,1
Before,Alpha,BLACKPINK,1
Bet,Alpha,BLACKPINK,1
Better,Alpha,BLACKPINK,3
Billie,Alpha,BLACKPINK,1
Billis,Alpha,BLACKPINK,1
Black,Alpha,BLACKPINK,3
Blacked,Alpha,BLACKPINK,1
Blowin,Alpha,BLACKPINK,2
Blue,Alpha,BLACKPINK,3
Body,Alpha,BLACKPINK,1
Bonnie,Alpha,BLACKPINK,1
Born,Alpha,BLACKPINK,1
Boy,Alpha,BLACKPINK,3
Boys,Alpha,BLACKPINK,1
Bring,Alpha,BLACKPINK,1
Brrr,Alpha,BLACKPINK,1
Brrrr,Alpha,BLACKPINK,1
But,Alpha,BLACKPINK,18
But,Alpha,Lady Gaga & BLACKPINK,5
Bye,Alpha,BLACKPINK,2
Call,Alpha,BLACKPINK,1
Can,Alpha,BLACKPINK,4
Cardi,Alpha,BLACKPINK,2
Catch,Alpha,BLACKPINK,2
Cause,Alpha,BLACKPINK,8
Charge,Alpha,BLACKPINK,1
Chillin,Alpha,BLACKPINK,1
Clack,Alpha,BLACKPINK,1
Click,Alpha,BLACKPINK,1
Close,Alpha,Lady Gaga & BLACKPINK,1
Clyde,Alpha,BLACKPINK,1
Coldest,Alpha,BLACKPINK,2
Come,Alpha,BLACKPINK,2
Come,Alpha,Lady Gaga & BLACKPINK,5
Cupid,Alpha,BLACKPINK,1
Diamond,Alpha,BLACKPINK,1
Diamonds,Alpha,BLACKPINK,2
Didn,Alpha,BLACKPINK,4
Do,Alpha,BLACKPINK,2
Don,Alpha,BLACKPINK,17
Drip,Alpha,BLACKPINK,1
Drive,Alpha,BLACKPINK,1
Driving,Alpha,BLACKPINK,1
E,Alpha,BLACKPINK,2
Eh,Alpha,BLACKPINK,2
Even,Alpha,BLACKPINK,1
Every,Alpha,BLACKPINK,7
Eyes,Alpha,BLACKPINK,1
F,Alpha,BLACKPINK,3
Feelin,Alpha,BLACKPINK,1
Feels,Alpha,BLACKPINK,1
Felt,Alpha,BLACKPINK,1
Fera,Alpha,BLACKPINK,1
Fire,Alpha,BLACKPINK,2
For,Alpha,BLACKPINK,4
Forever,Alpha,BLACKPINK,10
Foxy,Alpha,BLACKPINK,1
From,Alpha,BLACKPINK,3
Front,Alpha,BLACKPINK,1
G,Alpha,BLACKPINK,2
GAMBLE,Alpha,BLACKPINK,1
Get,Alpha,BLACKPINK,4
Girls,Alpha,BLACKPINK,4
Give,Alpha,BLACKPINK,3
Go,Alpha,BLACKPINK,1
Good,Alpha,BLACKPINK,1
Got,Alpha,BLACKPINK,4
Gotta,Alpha,BLACKPINK,3
Grab,Alpha,BLACKPINK,1
Ha,Alpha,BLACKPINK,2
Had,Alpha,BLACKPINK,1
Hands,Alpha,BLACKPINK,1
He,Alpha,BLACKPINK,2
Here,Alpha,BLACKPINK,1
Hey,Alpha,BLACKPINK,1
Hi,Alpha,BLACKPINK,1
High,Alpha,BLACKPINK,1
Higher,Alpha,BLACKPINK,2
His,Alpha,BLACKPINK,1
Hit,Alpha,BLACKPINK,6
Hold,Alpha,BLACKPINK,3
How,Alpha,BLACKPINK,15
I,Alpha,BLACKPINK,182
