형태소,품사,분류,카운트
!,.,BLACKPINK,1
',POS,BLACKPINK,1
'Cause,POS,BLACKPINK,3
'll,MD,BLACKPINK,8
'll,MD,Lady Gaga & BLACKPINK,2
'm,VBP,BLACKPINK,4
'm,VBP,Lady Gaga & BLACKPINK,10
're,VBP,BLACKPINK,4
's,POS,BLACKPINK,5
's,POS,Lady Gaga & BLACKPINK,1
's,VBZ,BLACKPINK,5
's,VBZ,Lady Gaga & BLACKPINK,2
've,VBP,BLACKPINK,2
(,(,BLACKPINK,16
),),BLACKPINK,16
",",",",BLACKPINK,39
.,.,BLACKPINK,2
...,:,BLACKPINK,2
1,CD,BLACKPINK,1
2,CD,BLACKPINK,1
24,CD,BLACKPINK,1
3,CD,BLACKPINK,1
365,CD,BLACKPINK,1
4,CD,BLACKPINK,1
90,CD,BLACKPINK,1
?,.,BLACKPINK,7
A,DT,BLACKPINK,1
A,NNP,BLACKPINK,4
AP,NNP,BLACKPINK,1
Acting,NNP,BLACKPINK,1
Ah,NNP,BLACKPINK,2
All,DT,BLACKPINK,2
All,NNP,BLACKPINK,2
And,CC,BLACKPINK,18
Ask,NNP,Lady Gaga & BLACKPINK,1
At,IN,Lady Gaga & BLACKPINK,1
Aye,NNP,BLACKPINK,1
BA,NNP,BLACKPINK,6
BLACKPINK,NNP,BLACKPINK,7
BOOM,NNP,BLACKPINK,12
BOOMBAYAH,NNP,BLACKPINK,8
Baby,NNP,BLACKPINK,8
Badda,NNP,BLACKPINK,1
Been,IN,BLACKPINK,1
Before,IN,BLACKPINK,1
Bet,NNP,BLACKPINK,1
Better,JJR,BLACKPINK,1
Better,NNP,BLACKPINK,2
Billie,NNP,BLACKPINK,1
Billis,NNP,BLACKPINK,1
Black,NNP,BLACKPINK,3
Blacked,VBN,BLACKPINK,1
Blowin,NNP,BLACKPINK,2
Blue,NNP,BLACKPINK,3
Body,NNP,BLACKPINK,1
Bonnie,NNP,BLACKPINK,1
Born,NNP,BLACKPINK,1
Boy,NNP,BLACKPINK,3
Boys,NNP,BLACKPINK,1
Bring,NNP,BLACKPINK,1
Brrr,NNP,BLACKPINK,1
