형태소,품사,그룹명,카운트
"
",Foreign,Red Velvet(레드벨벳),2
!,Punctuation,BLACKPINK,1
!,Punctuation,BTS(방탄소년단),178
!,Punctuation,EXO,137
!,Punctuation,NCT 127,7
!,Punctuation,NCT 2018,3
!,Punctuation,Red Velvet(레드벨벳),137
!,Punctuation,SEVENTEEN(세븐틴),38
!,Punctuation,TWICE,69
!,Punctuation,예리 (YERI) & NCT,14
!!,Punctuation,BTS(방탄소년단),9
!!!!,Punctuation,BTS(방탄소년단),3
!!!!!,Punctuation,BTS(방탄소년단),1
!!!!!!,Punctuation,BTS(방탄소년단),1
"!""",Punctuation,BTS(방탄소년단),4
!',Punctuation,BTS(방탄소년단),1
!),Punctuation,BTS(방탄소년단),101
!),Punctuation,EXO,25
!),Punctuation,Red Velvet(레드벨벳),31
!),Punctuation,SEVENTEEN(세븐틴),1
!),Punctuation,TWICE,8
!),Punctuation,예리 (YERI) & NCT,2
"""",Punctuation,BTS(방탄소년단),8
"""",Punctuation,Red Velvet(레드벨벳),7
"""",Punctuation,TWICE,2
$,Punctuation,BTS(방탄소년단),2
"$,",Punctuation,SEVENTEEN(세븐틴),1
$.,Punctuation,SEVENTEEN(세븐틴),1
&,Punctuation,BTS(방탄소년단),25
&,Punctuation,EXO,9
&,Punctuation,NCT DREAM,1
&,Punctuation,NCT U,4
&,Punctuation,Red Velvet(레드벨벳),13
&,Punctuation,SEVENTEEN(세븐틴),11
&,Punctuation,TWICE,5
',Punctuation,BLACKPINK,45
',Punctuation,BTS(방탄소년단),663
',Punctuation,BTS(방탄소년단) & Charli XCX,5
',Punctuation,BTS(방탄소년단) & Juice WRLD,6
',Punctuation,EXO,278
',Punctuation,EXO-K,5
',Punctuation,Lady Gaga & BLACKPINK,16
',Punctuation,Lauv,14
',Punctuation,NCT,4
',Punctuation,NCT 127,18
',Punctuation,NCT 2018,10
',Punctuation,NCT DREAM,6
',Punctuation,NCT U,200
',Punctuation,Red Velvet(레드벨벳),139
',Punctuation,SEVENTEEN(세븐틴),264
',Punctuation,TWICE,371
'),Punctuation,EXO,2
(,Punctuation,BLACKPINK,16
(,Punctuation,BTS(방탄소년단),617
(,Punctuation,BTS(방탄소년단) & Charli XCX,15
(,Punctuation,BTS(방탄소년단) & Zara Larsson,7
(,Punctuation,EXO,530
(,Punctuation,EXO-K,13
(,Punctuation,NCT,17
(,Punctuation,NCT 127,5
(,Punctuation,NCT 2018,5
(,Punctuation,NCT DREAM,31
(,Punctuation,NCT U,92
(,Punctuation,Red Velvet(레드벨벳),298
(,Punctuation,SEVENTEEN(세븐틴),267
(,Punctuation,TWICE,115
(,Punctuation,예리 (YERI) & NCT,6
(**,Punctuation,NCT 127,2
),Punctuation,BLACKPINK,16
),Punctuation,BTS(방탄소년단),483
),Punctuation,BTS(방탄소년단) & Charli XCX,15
),Punctuation,BTS(방탄소년단) & Zara Larsson,7
),Punctuation,EXO,489
),Punctuation,EXO-K,13
),Punctuation,NCT,17
),Punctuation,NCT 127,8
),Punctuation,NCT 2018,3
),Punctuation,NCT DREAM,31
),Punctuation,NCT U,92
),Punctuation,Red Velvet(레드벨벳),245
),Punctuation,SEVENTEEN(세븐틴),264
),Punctuation,TWICE,107
),Punctuation,예리 (YERI) & NCT,4
)(,Punctuation,NCT U,1
"),",Punctuation,BTS(방탄소년단),3
"),",Punctuation,SEVENTEEN(세븐틴),2
*,Punctuation,EXO,11
*,Punctuation,NCT 127,2
*,Punctuation,NCT 2018,3
*,Punctuation,NCT DREAM,2
*,Punctuation,NCT U,18
*,Punctuation,Red Velvet(레드벨벳),31
*,Punctuation,SEVENTEEN(세븐틴),8
*(,Punctuation,SEVENTEEN(세븐틴),1
**,Punctuation,BTS(방탄소년단),1
**,Punctuation,EXO,5
**,Punctuation,NCT 127,1
**,Punctuation,NCT DREAM,2
**,Punctuation,NCT U,4
**,Punctuation,Red Velvet(레드벨벳),26
**,Punctuation,SEVENTEEN(세븐틴),9
***,Punctuation,BTS(방탄소년단),1
***,Punctuation,EXO,2
***,Punctuation,NCT 127,1
***,Punctuation,NCT U,4
***,Punctuation,Red Velvet(레드벨벳),1
***,Punctuation,SEVENTEEN(세븐틴),1
***(,Punctuation,NCT 127,1
***(,Punctuation,SEVENTEEN(세븐틴),2
*******,Punctuation,BTS(방탄소년단),1
+,Punctuation,BTS(방탄소년단),1
",",Punctuation,BLACKPINK,39
",",Punctuation,BTS(방탄소년단),818
",",Punctuation,BTS(방탄소년단) & Juice WRLD,5
",",Punctuation,BTS(방탄소년단) & Zara Larsson,1
",",Punctuation,EXO,458
",",Punctuation,EXO-K,90
",",Punctuation,Halsey & SUGA & BTS,8
",",Punctuation,Lauv,17
",",Punctuation,NCT 2018,8
",",Punctuation,NCT U,8
",",Punctuation,Red Velvet(레드벨벳),181
",",Punctuation,SEVENTEEN(세븐틴),91
",",Punctuation,TWICE,406
",",Punctuation,예리 (YERI) & NCT,9
-,Punctuation,BLACKPINK,56
-,Punctuation,BTS(방탄소년단),69
-,Punctuation,EXO,127
-,Punctuation,EXO-K,25
-,Punctuation,Lady Gaga & BLACKPINK,7
-,Punctuation,NCT DREAM,1
-,Punctuation,NCT U,8
-,Punctuation,Red Velvet(레드벨벳),541
-,Punctuation,SEVENTEEN(세븐틴),54
-,Punctuation,TWICE,167
-),Punctuation,NCT 2018,2
-),Punctuation,Red Velvet(레드벨벳),6
-),Punctuation,SEVENTEEN(세븐틴),1
--,Punctuation,Red Velvet(레드벨벳),6
.,Punctuation,BTS(방탄소년단),154
.,Punctuation,EXO,85
.,Punctuation,EXO-K,9
.,Punctuation,NCT 127,6
