가수,앨범,제목,발매일,작사가,가사,
엑소(EXO-K),`MAMA` EXO-K The 1st Mini Album,MAMA,2012.04.09.,유영진,Careless careless Shoot anonymous anonymous Heartless mindless No one who care about me 잃어버린 채 외면하는 것 같아 참을 수밖에 없어 눈을 감지만 마마 이젠 내게 대답해줘 왜 사람들이 달라졌는지 아름다운 시절이라는게 존재하긴 했는지 이제 더는 사랑하는 법도 잊었고 배려하는 맘도 잃었고 등을 돌린 채로 살아가기 바쁜걸 익명의 가면에 감췄던 살의 가득한 질시 끝을 봐도 배고픈 듯한 이젠 만족해 우린 더 이상 눈을 마주 하지 않을까 소통하지 않을까 사랑하지 않을까 아픈 현실에 다시 눈물이 흘러 바꿀 수 있다고 바꾸면 된다고 말해요 마마 마마 언젠가부터 우린 스마트한 감옥에 자발적으로 갇혀 0과 1로 만든 디지털에 내 인격을 맡겨 거긴 생명도 감정도 따듯함도 없고 언어 쓰레기만 나뒹구는 삭막한 벌판 날이 갈수록 외로움만 더해져 우리가 인간일 수밖에 없는 건 상처 받는 것 만나고 손을 잡고 느끼며 함께 울고 웃고 닮아가고 서로 연결돼 돌이키고 싶다면 우린 더 이상 눈을 마주 하지 않을까 소통하지 않을까 사랑하지 않을까 아픈 현실에 다시 눈물이 흘러 바꿀 수 있다고 바꾸면 된다고 말해요 마마 마마 Turnback 죽고 죽이고 싸우고 외치고 이건 전쟁이 아니야 도와줘요 마마마마 마마마마 Turn back 깨닫게 마마마마 마마마마 Rolling back 박고 치고 편을 나누고 싸우고 이건 게임도 아니야 도와줘요 마마마마 마마마마 Turn back Yeah Careless careless 마마 Shoot anonymous anonymous 마마 Heartless mindless 마마 No one who care about me 마마 삶에 허락된 축복받은 날들에 감사하고 매일 새로운 인연들을 만들고 깨져버린 마음에 보다 기쁜 사랑을 모두 함께 웃을 수 있다면 우린 더 이상 눈을 마주 하지 않을까 소통하지 않을까 사랑하지 않을까 아픈 현실에 다시 눈물이 흘러 바꿀 수 있다고 바꾸면 된다고 말해요 마마 마마 Careless careless Shoot anonymous anonymous Heartless mindless No one who care about me,
엑소,`MAMA` EXO-K The 1st Mini Album,What Is Love,2012.04.09.,유영진,"Girl, I can't explain what I feel. ooh-yeah. my baby, baby, baby, baby. Yeah. 하루가 마치 1분처럼 느껴지게 만들지. 너만 있으면 영화 속의 주인공. 널 구하러 달려가는 액션 씬 이라도 찍을 것처럼, 난 마치 영웅이 된 것처럼. 넌 내게 완벽 상상해 봤어. 함께라면 어떨까? 난 너만 괜찮다고 말해주면 모두 완벽해. oh baby. * I lost my mind. 너를 처음 만났을 때, 너 하나 빼고 모든 것은 get in slow motion 내게 말해줘. 이게 사랑이라면. 매일 그대와 수많은 감정들을 나눠주고 배워가며 싸우고, 울고, 안아주고. 내게 말해줘. 이게 사랑이라면 세상남자들 모두 날 부러워해 너를 가진 내가 질투나 죽겠나봐. 해가 가고 달이 가도 절대 안 변해. 워~ 난 보기보다 우직하게 믿을 남자라는 걸, 넌 알게 될 테니까. 워~ I don’t know why 절대적인 이 감정. 내가 생각조차 했을까? 네 곁에 있을 때 난 점점 대단한 남자가 되고, 빛나는 걸.  I lost my mind. 너를 처음 만났을 때, 너 하나 빼고 모든 것은 get in slow motion 내게 말해줘. 이게 사랑이라면. 매일 그대와 수많은 감정들을 나눠주고 배워가며 싸우고, 울고, 안아주고. 내게 말해줘. 이게 사랑이라면. 간절히 바라고 바란다면 이뤄질까? 동화 얘기처럼 영원한 둘만의 해피엔딩, happily ever after. 나만은 널 믿어주고, 지켜주고 달래줄게. 네 편이 될게. 네 곁에서 절대 안 떠나.  I lost my mind. 너를 처음 만났을 때, 너 하나 빼고 모든 것은 get in slow motion 내게 말해줘. 이게 사랑이라면. 매일 그대와 수많은 감정들을 나눠주고 배워가며 싸우고, 울고, 안아주고. 내게 말해줘. 이게 사랑이라면 세상남자들 모두 날 부러워해 너를 가진 내가 질투나 죽겠나봐. My babe, baby babe, baby. baby- 널 알아보는 것, 이게 사랑인걸까? 아이처럼 널 자주 웃게 만들고 친구처럼 널 가장 편하게 만들거야. My babe, baby babe, baby. baby- 말해줘 내게 what is love-",
엑소,`MAMA` EXO-K The 1st Mini Album,HISTORY,2012.04.09.,"Liu Yuan,?유영진","Listen, 느낄 수 있니? 내 심장이 뛰지를 않아 (My heart be breakin') 분한 마음에 울어도 보고 소리 질러 “하!” 외쳐도 봤어 (My pain be creepin') 흑과 백, 아직 남과 북, 끝이 나지 않는 전쟁 Scene 둘로 나뉜 태양의 절망 * 멀리 돌고 돌아서 다시 시작하는 곳에 다 왔어 오류투성이지만 배워가며 강해질 수 있는 나 저 태양처럼 거대한 하나란 걸 아는 날 오- 오- 모두 함께 가는 우리 미래로 I need you and you want me 지구란 이 별에서 오- 오- 오- 오- Every, every, everyday 내가 만든 History. Break it! 욕망의 반칙 Move it! 파괴란 미덕 (No more shakin’ like that) Magic 시간이 가면 또 씻은 듯이 다시 재생 돼 시공간을 뛰어 넘어서 에덴의 아침을 꿈꾸고 있어 가자! 우린 그런 존재 멀리 돌고 돌아서 다시 시작하는 곳에 다 왔어 오류투성이지만 배워가며 강해질 수 있는 나 저 태양처럼 거대한 하나란 걸 아는 날 오- 오- 모두 함께 가는 우리 미래로 I need you and you want me 지구란 이 별에서 오- 오- 오- 오- Every, every, everyday 내가 만든 History. I need you and you want me 지구란 이 별에서 오- 오- 오- 오- 꿈을 잉태 하는 날 우린 다시 일어나. 일어나, 일어나, 일어나 (turn it on) 일어나, 일어나, 일어나 영원할거라 믿고 싶을 때 언젠가 할 거 라고 망설일 때 내일이 바로 끝인지도 몰라 후회 같은 건 잊어버려 두려워마 제발 사랑해, 사랑해, 사랑해 조화로울수록 완벽하잖아 모든 슬픔이 기쁨이 여기에 나와 너는 한 생명인 걸 Ya! 우리가 원래 하나로 태어났던 순간 갈수록 소모적인 이 세계를 만난 순간 우린 점점점 멀어져가 점점 둘로 깨져버린 채 힘을 잃어버린 태양 갈수록, 갈수록, 갈수록, 갈수록 더 간절했던 꿈의 세계를 다시 마주하는 순간 내 가슴이 뛴다 마구 뛴다 둥 둥 둥 둥 둥 둥 돌고 돌아서 다시 시작하는 곳에 다 왔어 Yeah- EXO-M, EXO-K 우리가 시작하는 미래 History 저 태양처럼 거대한 하나란 걸 아는 날 Oh- 하나의 심장에 태양에 끝없이 우린 하나로 강해지고 있어 I need you and you want me 지구란 이 별에서 오- 오- Every, every, everyday 내가 만든 History.",
엑소,`MAMA` EXO-K The 1st Mini Album,너의 세상으로 (Angel),2012.04.09.,조윤경,"마치 아무것도 모르는 아이로 그렇게 다시 태어난 순간 같이 잠시 꿈일까봐 한 번 더 눈 감았다 떠 보니 역시 너무 간절했던 네 앞에 기도하듯 서 있어 단 한 번만 네 옆에서 발을 맞춰 걸어 보고파 한 번, 딱 한 번만요 너의 세상으로 여린 바람을 타고 네 곁으로 어디에서 왔냐고 해맑게 묻는 네게 비밀이라 말했어 마냥 이대로 함께 걸으면 어디든 천국일테니 미카엘 보다 넌 나에게 눈부신 존재 감히 누가 너를 거역해 내가 용서를 안 해 에덴 그 곳에 발을 들인 태초의 그 처럼 매일 너 하나만 향하며 마음으로 믿으며 아주 작은 것이라도 널 힘들게 하지 못하게 항상 지키고 싶어 I'm eternally love 너의 수호자로 저 거센 바람을 막고 네 편으로 모두 다 등을 돌려도 힘에 겨운 어느 날 네 눈물을 닦아 줄 그런 한 사람 될 수 있다면 어디든 천국일테니 널 사랑하게 돼버린 난 이제 더 이상 돌아갈 곳이 없어요 날개를 거둬가셨죠 (oh no) 영원한 삶을 잃었대도 행복한 이유 나의 영원 이젠 그대이니까 Eternally Love 너의 세상으로 여린 바람을 타고 네 곁으로 어디에서 왔냐고 해맑게 묻는 네게 비밀이라 말했어 마냥 이대로 함께 걸으면 어디든 천국일테니",
엑소,`MAMA` EXO-K The 1st Mini Album,두 개의 달이 뜨는 밤 (Two Moons) (Feat. KEY (SHINee)),2012.04.09.,Misfit,"오늘에야 기어코 보지못한 miracle 실제상황 더 이상 묻지마 꿈이냐고 기다려 애태워 시간이 가까워 지나치기엔 오늘밤은 더욱 아까워 늑대처럼 울부짖어 whoa~ 전초의 feelin' 온 몸에는 전율이 흘러~ 막 찌릿찌릿 곧 달이 떠올라 달이 달이 떠올라 Ready set, oh my 저 하늘이 밝아와 *오늘은 두개의 달이, 두개, 두개의 달이 오늘은 두개의, 두개의 달, 달, 달이 뜨는 밤 Two Moons, Two Moons, Two Moon Two Moon Two Moons (EXO) 떠나 오늘 밤에 (EXO) 떠나 오늘 밤에 (EXO) Two Moons, Two Moons, Two Moon Two Moon Two Moons 떠나 오늘 밤에, 떠나 오늘 밤에, 떠나 오늘 밤에, 다신 오지않게 새하얀 light 마침 더 밝아진 회색빛 sky 요동치며 갈라진 두 개의 시공 아직은 don't know 설명할 틈은 없어 we gotta go go 서둘러 서둘러 오늘만 열리는 평행통로 4디멘션으로 새로운 내 세상 어제 만난 내가 아닐거야 겉보기론 아마 똑같아 보이겠지만, 그런 뻔한 것들 기대하지 마 이미 1 더하기 1 답은 절대로 2 Nah~ Welcome to the night That’s right! Selected VIP wouldn't it be mind-blowingly awesome Now we're on a rock rock rocket, just gotta keep your seatbelt fastened 오늘은 두개의 달이, 두개, 두개의 달이 오늘은 두개의, 두개의 달, 달, 달이 뜨는 밤 No you're not gonna shoulda woulda this and coulda woulda that cuz we're never coming back to this trap See those two full moons, you're the chosen knight go and spread good news, cuz we got no time 오늘은 두개의 달이, 두개, 두개의 달이 오늘은 두개의, 두개의 달, 달, 달이 뜨는 밤 Two Moons, Two Moons, Two Moon Two Moon Two Moons (EXO) 떠나 오늘 밤에 (EXO) 떠나 오늘 밤에 (EXO) Two Moons, Two Moons, Two Moon Two Moon Two Moons. I’m good",
엑소,`MAMA` EXO-K The 1st Mini Album,MACHINE,2012.04.09.,Misfit,"찔러도 피한방울 안나올듯 완벽한 아름다움 꿈같은 황금비율 그녀의 싱그런 머릿결 대리석 같은 피부결 초현실적인걸 woo~ 그녀는 인형이 아닌지 숨 쉬기는 하는 건지 알듯 말듯 차가운 미소를 지으며 목소린 있는지 심장이 뛰는 사람이란 걸 도저히 믿을 수 없어 봐봐 * 넌 마치 차가운 machine 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine 칼같이 아름다운 여신 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine Ah! Yeah! 아무리 쳐다봐도 모르겠는 잠겨진 그녀 마음 철저한 보안지구 야무진 빨간색 입매도 유리알 같은 눈빛도 힌트를 주지 않아 woo~ 그녀는 뭘 생각하는지 가끔 울기는 하는지 알듯 말듯 차가운 미소를 지으며 감정은 있는지 사랑을 하는 사람이란 걸 도저히 믿을 수 없어 봐봐  넌 마치 차가운 machine 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine 칼같이 아름다운 여신 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine. (Hey hey) 꼭 알아내겠어 (Hey hey) Yeah you know 어려운 암호 걸린 그녀 맘 아무도 풀지 못하게 잠긴 방 yeah 굳게 닫힌 맘을 해킹 해킹 gotta get to her heart Yeah 이제는 깨어나 완벽한 아름다움 Woo이제는 깨어나 그녈 웃게 할 날 지켜 봐봐  넌 마치 차가운 machine 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine 칼같이 아름다운 여신 너는 ma, ma, ma, ma, ma, machine 너는 ma, ma, ma, ma, ma, machine",
엑소,The 1st Album XOXO (KISS＆HUG),늑대와 미녀,2013.06.03.,Kenzie,"촉이 와 단번에 느껴 널 한입에 치즈처럼 집어넣을 테다 향길 맡고 색깔 음미하고 와인보다 우아하게 잡아먹을 테다 아 그런데 발톱에 힘이 빠져 입맛까지 으 없어져 혹시 내가 아픈 건가 병이라도 걸린 거니? Yeah! 큰일났지 헤이 정신차려, 어쩌다 인간에게 맘을 뺏겨버렸나 그녀는 한입거리뿐이라고 Hey 확 물어 그 다음 막 막 흔들어 정신 잃게 Hey 자 안 해본 스타일로 저 큰 보름달이 지기 전에 해치워라 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 난 늑대고 넌 미녀 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 난 늑대고 넌 미녀 거부할 수 없이 강렬한 이 느낌에 빠져버려 나를 놨어 난 단순한 게 좋아 내 속에 숨어있던 것이 지금 눈 떴어 Yeah! 그녈 좀 봐 공포에 빠져, 눈앞의 시추에이션 이해 못해 못해 저 더러운 늑대 놈이 결국 날 잡아먹겠지 그게 아닌데, 사랑에 빠진 겁니다 너무 아름다 아름다 아름다운! 그대 내 님아 내 님아 내 님아 whoo! 나를 두려워 두려워 두려워마! 나는 특별한 특별한 특별한 Wolf! 그대 사랑한 사랑한 사랑한 Wolf! 네게 눈이 먼 눈이 먼 눈이 먼 Wolf! Hey 확 물어 그 다음 막 막 흔들어 정신 잃게 Hey 자 안 해본 스타일로 저 큰 보름달이 지기 전에 해치워라 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 난 늑대고 넌 미녀 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 난 늑대고 넌 미녀 널 못 끊겠어 큰일났어 널 못 끊겠어 큰일났어 저 노란 달이 나를 놀려 널 가질 수 없다고 난 그냥 거친 야수인데 그딴 말 할거면 꺼져, 필요하다면 날 바꿔 그녈 절대 보낼 수가 없어 거부할 수 없이 강렬한 이 느낌에 빠져버려 나를 놨어 난 단순한 게 좋아 내 속에 숨어있던 것이 지금 눈 떴어 거부할 수 없이 강렬한 이 느낌에 빠져버려 나를 놨어 난 단순한 게 좋아 내 속에 숨어있던 것이 지금 눈 떴어 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 (아 사랑해요)난 늑대고 넌 미녀 그래 Wolf, 내가 Wolf! Awouuuu 아 사랑해요 난 늑대고 넌 미녀 ",
엑소,The 1st Album XOXO (KISS＆HUG),"Baby, Don't Cry (인어의 눈물)",2013.06.03.,조윤경,"더는 망설이지 마 제발 내 심장을 거두어 가 그래 날카로울수록 좋아 달빛 조차도 눈을 감은 밤 나 아닌 다른 남자였다면 희극 안의 한 구절이었더라면 너의 그 사랑과 바꾼 상처 모두 태워버려 * Baby don't cry tonight 어둠이 걷히고 나면 Baby don't cry tonight 없었던 일이 될 거야 물거품이 되는 것은 네가 아니야 끝내 몰라야 했던 so Baby don't cry cry 내 사랑이 널 지킬 테니 오직 서로를 향해있는 운명을 주고 받아 엇갈릴 수 밖에 없는 그 만큼 더 사랑했음을 난 알아 When you smile, sun shines 언어란 틀엔 채 못 담을 찬란 온 맘에 파도 쳐 부서져 내리잖아 oh Baby don't cry tonight 폭풍이 몰아치는 밤 (우~ 하늘이 무너질 듯) Baby don't cry tonight 조금은 어울리잖아 눈물보다 찬란히 빛나는 이 순간 너를 보내야 했던 So Baby don't cry cry 내 사랑이 기억될 테니 어두컴컴한 고통의 그늘 위 이별의 문턱에 내가 무참히 넘어져도 그마저도 널 위해서라면 감당할 테니 uh, 대신 나를 줄게 비록 날 모르는 너에게 don't cry, 뜨거운 눈물보단 차디찬 웃음을 보여줘 Baby, Say no more (baby) no more (don't cry) 제발 망설이지는 말아줘 물거품이 될 그 찰나 Say no more (baby) no more (don't cry) 눈부신 사람으로 남을 수 있게 차라리 그 칼로 날 태워줘 네 눈 속에 가득 차 오르는 달빛 woo~ 소리 없이 고통 속에 흘러 넘치는 이 밤 Baby don't cry tonight 어둠이 걷히고 나면 Baby don't cry tonight 없었던 일이 될 거야 물거품이 되는 것은 네가 아니야 끝내 몰라야 했던 so Baby don't cry cry 내 사랑이 널 지킬 테니 이른 햇살이 녹아 내린다 너를 닮은 눈부심이 내린다 길을 잃은 내 눈은 이제야 Cry cry cry",
엑소,The 1st Album XOXO (KISS＆HUG),Black Pearl,2013.06.03.,서지음,"She's my black pearl She's my black pearl 지도는 필요 없어 내 맘이 널 가리켜 갈 길이 험난해도 이쯤에서 그렇겐 못한다 한 시도 떨어져 잊어본 적이 없는데 저 멀리 수평선 끝에 너의 모습을 볼 수 있다면 * 난 돛을 올려 끝까지 바람에 날 싣고 oh 거칠어진 수면의 요동을 재워 ** 어둠 속에 핀 꽃, 바다 위에 뜬 달, 비밀 같은 그 곳, my beautiful black pearl 어둠 속에 핀 꽃, 바다 위에 뜬 달, 비밀 같은 그 곳, my beautiful black pearl 실재하긴 하는 건지 현실과는 동떨어진 꿈과 이상 속을 헤매고 있나 신화 속에 살 것만 같은 oh, 나의 여신아 시간을 헤치고 널 찾아가 영원한 것들은 믿어본 적이 없는데 그토록 간절하게 나 바라왔던 널 닿게 된다면 난 돛을 올려 끝까지 바람에 날 싣고 oh 거칠어진 수면의 요동을 재워 어둠 속에 핀 꽃, 바다 위에 뜬 달, 비밀 같은 그 곳, my beautiful black pearl 폭풍이 몰아치는 아찔한 순간에도 뱃머릴 돌리지마 항해를 멈추지마 이 정도에 겁을 먹고 물러날 줄 알았다면 시작조차 하지 않았다 너를 감춰놓은 바다의 장난엔 기꺼이 내가 맞서준다 거칠어진 수면의 요동을 재워 x3 She's my black pearl oh- She is my black pearl 난 하늘에 뜬 태양과 다섯 개의 대양 oh 찬란하게 빛나는 그녀를 향해 짙은 안개 속에 높은 파도 위에 흐릿하게 비친 my beautiful black pearl (ho- oh- my beautiful black pearl yeah) 깊은 침묵 속에 슬픈 선율 위에 희미하게 들린 my beautiful black pearl (ho- hey she's my beautiful beautiful black pearl)",
엑소,The 1st Album XOXO (KISS＆HUG),나비소녀 (Don't Go),2013.06.03.,서지음,"조그만 날갯짓 널 향한 이끌림 나에게 따라오라 손짓한 것 같아서 애절한 눈빛과 무언의 이야기 가슴에 회오리가 몰아치던 그날 밤 오묘한 그대의 모습에 넋을 놓고 하나뿐인 영혼을 뺏기고 그대의 몸짓에 완전히 취해서 숨 쉬는 것조차 잊어버린 나인데 왈츠처럼 사뿐히 앉아 눈을 뗄 수 없어 시선이 자연스레 걸음마다 널 따라가잖아 날 안내해줘 yeah 그대가 살고 있는 곳에 나도 함께 데려가줘 oh, 세상의 끝이라도 뒤따라갈 테니 부디 내 시야에서 벗어나지 말아줘 아침이 와도 사라지지 말아줘 oh 꿈을 꾸는 걸음 그댄 나만의 아름다운 나비 oh, woo-hoo-hoo oh yeah- woo-hoo-hoo yeah woo-hoo-hoo 어디서 왔는지 어디로 가는지 친절히 여기까지 마중을 와준 너 가파른 오르막 깎아진 절벽도 걱정마 무엇도 두려울 것이 없으니 너는 뽐내 우아한 자태 오! 난 몇 번이고 반하고 사랑은 이렇게 나도 모르게 예고도 없이 불시에 찾아와 왈츠처럼 사뿐히 앉아 눈을 뗄 수 없어 시선이 자연스레 걸음마다 널 따라가잖아 oh no 날 안내해줘 yeah 그대가 살고 있는 곳에 나도 함께 데려가줘 oh, 세상의 끝이라도 뒤따라갈 테니 부디 내 시야에서 벗어나지 말아줘 아침이 와도 사라지지 말아줘 oh 꿈을 꾸는 걸음 그댄 나만의 아름다운 나비 낯선 곳을 헤맨다 해도 길을 잃어버린대도 누구보다 솔직한 나의 맘을 따를거야 조용히 눈에 띄는 몸짓 강하고 부드러운 눈빛 거부할 수 없는 나니까 yeah 날 데려가줘 yeah 그대가 살고 있는 곳에 나도 함께 데려가줘 oh, 세상의 끝이라도 따라갈게 oh no 내 시야에서 벗어나지 말아줘 아침이 와도 사라지지 말아줘 oh 조그마한 손짓 나의 가슴엔 회오리가 친다 woo-hoo-hoo, woo-hoo-hoo woo-hoo-hoo",
